CusID,LastPurchased,Total Revenue,Ticket,Ticket Size,1/12/2020,2/12/2020,3/12/2020,4/12/2020,5/12/2020,6/12/2020,7/12/2020,8/12/2020,9/12/2020,10/12/2020,11/12/2020,12/12/2020,13/12/2020,14/12/2020,15/12/2020,16/12/2020,17/12/2020,18/12/2020,19/12/2020,20/12/2020,21/12/2020,22/12/2020,23/12/2020,24/12/2020,25/12/2020,26/12/2020,27/12/2020,28/12/2020,29/12/2020,30/12/2020,31/12/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,13/1/2021,14/1/2021,15/1/2021,16/1/2021,17/1/2021,18/1/2021,19/1/2021,20/1/2021,21/1/2021,22/1/2021,23/1/2021,24/1/2021,25/1/2021,26/1/2021,27/1/2021,28/1/2021,29/1/2021,30/1/2021,31/1/2021,1/2/2021,2/2/2021,3/2/2021,4/2/2021,5/2/2021,6/2/2021,7/2/2021,8/2/2021,9/2/2021,10/2/2021,11/2/2021,12/2/2021,13/2/2021,14/2/2021,15/2/2021,16/2/2021,17/2/2021,18/2/2021,19/2/2021,20/2/2021,21/2/2021,22/2/2021,23/2/2021,24/2/2021,25/2/2021,26/2/2021,27/2/2021,28/2/2021,1/3/2021,2/3/2021,3/3/2021,4/3/2021,5/3/2021,6/3/2021,7/3/2021,8/3/2021,9/3/2021,10/3/2021,11/3/2021,12/3/2021,13/3/2021,14/3/2021,15/3/2021,16/3/2021,17/3/2021,18/3/2021,19/3/2021,20/3/2021,21/3/2021,22/3/2021,23/3/2021,24/3/2021,25/3/2021,26/3/2021,27/3/2021,28/3/2021,29/3/2021,30/3/2021,31/3/2021,1/4/2021,2/4/2021,3/4/2021,4/4/2021,5/4/2021,6/4/2021,7/4/2021,8/4/2021,9/4/2021,10/4/2021,11/4/2021
1000000,4/4/2021,141330.08,72,1962.92,,,,,,2392.52,,,267.29,,,118.69,442.06,,540.19,187.85,5533.69,,,,,,364.49,,,,,,1259.81,3547.66,,8592.51,,,269.16,,10463.55,,,1485.98,397.18,,,,,,,,,,,,42.06,,1537.39,1299.07,2334.57,645.79,1700.98,342.05,,,700.93,,,9443.31,166.36,127.10,,,224.30,,,15531.78,461.69,,,1867.29,143.93,65.42,,,,,1014.95,,,464.03,7013.35,1663.55,,,,,4971.02,1193.46,,,,,,,,,13848.60,306.54,8554.19,,1280.37,7467.29,1616.80,,,,,755.14,288.79,763.56,,,2140.19,,,,15491.60,,,,,,,
1000012,20/3/2021,16427.05,2,8213.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16316.77,,,,,,,,,,,,,,,,,,,,,,
1000039,14/3/2021,325.24,1,325.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000044,4/4/2021,6178.49,9,686.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3528.98,101.87,,,1063.53,,,,,,,,,,750.47,733.64,,,,,,,
1000048,12/12/2020,915.80,1,915.80,,,,,,,,,,,,915.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000053,11/4/2021,9038.66,10,903.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934.58,,,,,,,,,,,,,,,,,,,326.17,,,,,,,,1789.72,,,,,,,,,,1477.46,,,,,,,,,,,,644.38,,460.74,,,,,574.77,,2103.74,,,,,,,,,,,,,,,,,,,727.1
1000060,24/1/2021,12295.32,3,4098.44,,,,,,,,,,,,,3924.29,,,,,,,,,,,,,,,,,,,5679.44,,,,,,,,,,,,,,,,,,,,,,,2691.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000067,26/3/2021,147.67,1,147.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.67,,,,,,,,,,,,,,,,
1000075,1/4/2021,4821.51,8,602.69,,,,,,,,,,,2768.22,,,,343.93,83.18,,,,,,,,,,,,,,9.35,,,,,,,231.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276.64,,,,,,,,,,
1000078,24/12/2020,21084.11,5,4216.82,,183.18,,,,,,,,,,,,,,,,,,,,,20802.80,98.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000090,13/1/2021,877.12,6,146.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.19,,,106.09,100.00,,,,,,330.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000099,19/3/2021,8083.81,3,2694.60,,,,,,,,,,,,,,,,,,,,1883.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1392.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4807.48,,,,,,,,,,,,,,,,,,,,,,,
1000100,3/2/2021,14066.36,1,14066.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14066.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000106,3/4/2021,11420.55,4,2855.14,,,,2027.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.07,,,,,8401.87,,,,,,,,
1000111,29/1/2021,11205.61,1,11205.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11205.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000127,30/3/2021,195.33,1,195.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.33,,,,,,,,,,,,
1000129,6/4/2021,851.40,3,283.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851.40,,,,,
1000138,13/12/2020,207.48,1,207.48,,,,,,,,,,,,,207.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000148,2/12/2020,220.56,1,220.56,,220.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000170,19/3/2021,6234.70,6,1039.12,,,,,,,,,,,,355.28,,,,91.58,,,,,,,,,,,,,,,384.11,,,,,,,,,,,,,,,,,,620.56,,,,,,,,,,,4690.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.52,,,,,,,,,,,,,,,,,,,,,,,
1000186,23/12/2020,21871.96,2,10935.98,,,,,,,,,,,,,,,,,,,,,,,21871.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000191,8/3/2021,25686.92,4,6421.73,,,,,,,,,,,,13074.77,,,,,,,,,,,,,,,,,,,,,,,,,,8377.57,,,,,,,,,,,,4153.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000232,26/3/2021,557.01,3,185.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.93,,,,,,,,,,,,,,129.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.17,,,,,,,,,,,,,,,,
1000253,8/4/2021,1203.74,5,240.75,279.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.44,,,,,-279.44,372.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.40,,,
1000294,12/3/2021,11976.02,5,2395.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.36,,,,,11567.28,,,,,,,,,,,,,,,,,307.81,,,,,,,,,,,,,,,,,,,54.21,,,,,,,,,,,,,,,,,,,,,23.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000295,28/2/2021,1401.87,1,1401.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1401.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000322,8/4/2021,7083.17,6,1180.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557.94,,,8.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4289.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2348.60,-1121.50,,,
1000336,31/3/2021,5238.30,5,1047.66,,,167.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4825.21,,,,,,,,,,,
1000393,11/12/2020,157.94,1,157.94,,,,,,,,,,,157.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000475,27/2/2021,279.44,1,279.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000548,8/4/2021,10968.94,13,843.76,,,,689.51,117.75,108.41,,,,,,,,,,,,,,,,,,,5.61,,,,,,,,,,,,,162.62,,,,,,,,,,,,,,,,,,6878.50,,,,,,,,,,,182.24,,,,,,,,,,,,,,,,,,,,,,,,2471.96,81.31,,,,,,,,162.62,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,108.41,,,
1000597,5/12/2020,4570.09,1,4570.09,,,,,4570.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000614,26/3/2021,505.61,4,126.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.17,,,,,,,,,,,,,,,,,,,,,,,,291.59,,,,,,,,,,,,,,56.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.78,,,,,,,,,,,,,,,,
1000771,5/4/2021,98022.18,11,8911.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7835.51,,,,,,,,,,,,,,,,,,,,,26230.84,,,,,,,,,,,,,,,,,,24559.81,,,,,,8698.13,,1633.64,1511.22,,,,,,,,,,,,4570.09,,,,,,,,,,,,,,,764.49,,12891.35,,,,,,,,,,,,,,9327.10,,,,,,
1000987,4/4/2021,7755.72,3,2585.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.17,,,,,668.03,6363.39,,,,,,,,,,,,,,,,,,,,,398.13,,,,,,,
1001043,29/3/2021,7560.74,4,1890.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6294.39,,,,,,858.87,,,,,,,,,,,,,,,,,,,,,,,,,,,71.97,,,,,,,,,,,,,
1001110,7/4/2021,19908.44,19,1047.81,,,,,,,6158.88,,,,,,,,,,,,,,,49.53,,,,,,,531.78,,531.78,,,,,,,,,,,,,,,,,,,,,,130.84,,,,,,,,,15.89,,,65.42,,,,36.45,,,,,,,,,,,,,,,,,,37.38,,,46.73,,,15.89,,186.92,335.51,,,,,,26.17,,,,,,,,,,,,,,,,,31.78,,,,25.24,,,9.35,,11672.90,,,,
1001378,6/3/2021,782.25,3,260.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.90,,,,,,,,,,,,,,,,,,,,,,,,,,475.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001561,27/2/2021,542.06,1,542.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001724,31/3/2021,8693.45,2,4346.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1196.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7497.19,,,,,,,,,,,
1002099,20/3/2021,2110.29,6,351.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.94,,,,,,,,,,,,428.04,,,,,166.36,,,,,,,235.51,,,,,,92.52,,,,,,,,,,,,,,,,,,,,,,
1002723,7/3/2021,11412.15,14,815.15,,,,,,838.32,,279.44,,,,,,,737.38,,,,,,,,,,,,25.23,,,,,,726.17,,,,,2519.62,,,,,,,,,,,,,,,,,,,,,4467.29,,,,,,,,,925.23,-925.23,,,,,,,,,,,,,,,1403.75,,,,,,,,,364.49,,,,50.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003538,2/12/2020,0.00,2,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
